No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
2031	4	1033	106.65	106.65	0.003084058674756107	0.125	0.03363626757308587	0.04
2032	2	526	106.75	106.76	0.011928129482900694	0.075	0.10435543077397609	0.03
2033	4	1034	106.75	106.75	0.003976043160966898	0.5	0.03478514359132537	0.13
2034	4	1035	106.85	106.85	0.003084058674756107	0.375	0.03363626757308587	0.1
2035	4	1036	106.95	106.96	0.003976043160966898	0.25	0.03478514359132537	0.08
2036	3	259	106.95	106.95	0.007952086321933796	0.4	0.06957028718265074	0.09
2037	4	1037	107.05	107.05	0.003084058674756107	0.5	0.03363626757308587	0.13
2038	4	1039	107.15	107.15	0.003084058674756107	0.25	0.03363626757308587	0.07
2039	4	1038	107.1	107.1	0.003084058674756107	0.5	0.03363626757308587	0.13
2040	4	1040	107.2	107.2	0.003084058674756107	0.375	0.03363626757308587	0.1
2041	3	260	107.3	107.3	0.007952086321933796	0.3	0.06957028718265074	0.07
2042	0	106	107.35	107.36	0.019880215804834487	0.05	0.17392571795662679	0.02
2043	1	107	107.35	107.37	0.015904172643867592	0.05	0.13914057436530147	0.04
2044	4	1041	107.3	107.31	0.003976043160966898	0.375	0.03478514359132537	0.11
2045	0	107	107.45	107.47	0.02877795907585228	0.05	0.18538601128969776	0.03
2046	3	261	107.45	107.46	0.011511183630340911	0.1	0.0741544045158791	0.04
2047	4	1042	107.45	107.45	0.0057555918151704554	0.25	0.03707720225793955	0.07
2048	1	108	107.45	107.48	0.023022367260681822	0.15	0.1483088090317582	0.07
2049	2	527	107.55	107.56	0.011928129482900694	0.225	0.10435543077397609	0.07
2050	4	1043	107.55	107.55	0.003976043160966898	0.5	0.03478514359132537	0.13
2051	4	1044	107.65	107.65	0.003084058674756107	0.125	0.03363626757308587	0.04
2052	4	1045	107.75	107.75	0.003976043160966898	0.125	0.03478514359132537	0.04
2053	2	528	107.75	107.76	0.011928129482900694	0.225	0.10435543077397609	0.07
2054	2	529	107.85	107.86	0.011928129482900694	0.225	0.10435543077397609	0.07
2055	4	1046	107.85	107.85	0.003976043160966898	0.5	0.03478514359132537	0.13
2056	4	1047	107.95	107.95	0.003084058674756107	0.5	0.03363626757308587	0.13
2057	4	1048	108.05	108.05	0.003084058674756107	0.25	0.03363626757308587	0.07
2058	2	530	108.15	108.16	0.011928129482900694	0.15	0.10435543077397609	0.05
2059	4	1049	108.15	108.15	0.003976043160966898	0.25	0.03478514359132537	0.07
2060	2	531	108.25	108.26	0.011928129482900694	0.15	0.10435543077397609	0.05
2061	4	1050	108.25	108.25	0.003976043160966898	0.5	0.03478514359132537	0.13
2062	4	1051	108.35	108.35	0.003084058674756107	0.25	0.03363626757308587	0.07
2063	2	532	108.45	108.46	0.011928129482900694	0.225	0.10435543077397609	0.07
2064	4	1052	108.45	108.45	0.003976043160966898	0.375	0.03478514359132537	0.1
2065	3	262	108.55	108.55	0.009732567083325261	0.1	0.07186354640332293	0.03
2066	0	108	108.55	108.57	0.024331417708313156	0.025	0.17965886600830736	0.03
2067	2	533	108.55	108.56	0.014598850624987891	0.3	0.10779531960498441	0.09
2068	2	534	108.65	108.66	0.011928129482900694	0.15	0.10435543077397609	0.05
2069	4	1053	108.65	108.65	0.003976043160966898	0.5	0.03478514359132537	0.13
2070	4	1054	108.75	108.75	0.0048662835416626304	0.125	0.035931773201661465	0.04
2071	1	109	108.75	108.76	0.019465134166650522	0.15	0.14372709280664586	0.04
2072	2	535	108.75	108.77	0.014598850624987891	0.15	0.10779531960498441	0.06
2073	4	1055	108.85	108.85	0.003976043160966898	0.125	0.03478514359132537	0.04
2074	2	536	108.85	108.86	0.011928129482900694	0.3	0.10435543077397609	0.09
2075	3	263	108.9	108.9	0.007952086321933796	0.2	0.06957028718265074	0.04
2076	4	1056	108.9	108.91	0.003976043160966898	0.125	0.03478514359132537	0.05
2077	2	537	109.0	109.01	0.011928129482900694	0.15	0.10435543077397609	0.05
2078	4	1057	109.0	109.0	0.003976043160966898	0.375	0.03478514359132537	0.1
2079	3	264	109.1	109.1	0.007952086321933796	0.1	0.06957028718265074	0.02
2080	4	1058	109.1	109.11	0.003976043160966898	0.125	0.03478514359132537	0.05
2081	4	1059	109.2	109.2	0.003976043160966898	0.125	0.03478514359132537	0.04
2082	2	538	109.2	109.21	0.011928129482900694	0.15	0.10435543077397609	0.05
2083	1	110	109.3	109.31	0.019465134166650522	0.2	0.14372709280664586	0.05
